Starting Main App on 5003 (Production Mode)...
 * Serving Flask app 'web_app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5003
 * Running on http://10.5.0.2:5003
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [08/Jan/2026 23:04:29] code 400, message Bad request version ('À\x13À')
127.0.0.1 - - [08/Jan/2026 23:04:29] "[31m[1m\x16\x03\x01\x00á\x01\x00\x00Ý\x03\x03\x030I\x01¥¤KP)Ð\x19fU\x90ÿT<\x1e#\x8bQN±\x86ëx$\x97~£m5 ]\x97Ý%o\x8c\x05³Wµ;¶Nî©é¼sñöí\x03PÒu±B\x01¾·£W\x00$\x13\x01\x13\x02\x13\x03À/À+À0À,À'Ì©Ì¨À\x09À\x13À[0m" 400 -
127.0.0.1 - - [08/Jan/2026 23:04:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:04:51] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:04:51] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:04:52] "GET /static/asset_data.json?t=1767909892508 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:04:55] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Jan/2026 23:06:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:01] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:01] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:01] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 23:06:01] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 23:06:02] "GET /static/asset_data.json?t=1767909962114 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:02] "GET /static/asset_data.json?t=1767909962185 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:06] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:06] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:06] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:07] "GET /static/asset_data.json?t=1767909967097 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:06:08] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
